genre,color,font_size,left,top
hip pop,"rgb(168, 132, 6)",110%,1017px,4920px
art rock,"rgb(147, 124, 47)",110%,520px,12463px
metropopolis,"rgb(167, 136, 39)",110%,534px,5309px
modern country rock,"rgb(178, 131, 1)",110%,534px,5378px
german pop,"rgb(169, 130, 11)",110%,761px,6551px
sleep,"rgb(120, 0, 199)",110%,88px,17707px
europop,"rgb(190, 127, 17)",110%,782px,2880px
mpb,"rgb(132, 140, 20)",110%,807px,13495px
argentine hip hop,"rgb(163, 143, 9)",110%,1114px,7936px
folk,"rgb(101, 145, 14)",110%,744px,15546px
adult standards,"rgb(81, 143, 27)",110%,698px,18424px
yacht rock,"rgb(141, 132, 24)",110%,742px,10732px
mexican hip hop,"rgb(169, 131, 4)",110%,1109px,6740px
dance rock,"rgb(196, 114, 41)",110%,706px,2812px
indie folk,"rgb(103, 153, 34)",110%,589px,14358px
brostep,"rgb(212, 125, 67)",110%,791px,2841px
anime,"rgb(186, 121, 45)",110%,416px,5428px
chamber pop,"rgb(126, 142, 58)",109%,474px,12773px
urbano espanol,"rgb(164, 143, 7)",109%,1044px,9873px
british soul,"rgb(153, 138, 15)",109%,852px,6634px
trap triste,"rgb(144, 155, 7)",109%,1004px,7973px
polish hip hop,"rgb(177, 132, 9)",109%,1050px,7886px
metalcore,"rgb(230, 80, 33)",109%,208px,5137px
emo rap,"rgb(143, 152, 18)",109%,756px,6660px
disco,"rgb(162, 120, 19)",109%,892px,8364px
j-rock,"rgb(198, 110, 23)",109%,405px,5884px
gen z singer-songwriter,"rgb(113, 154, 2)",109%,780px,12315px
folk-pop,"rgb(135, 145, 10)",109%,587px,10696px
classical,"rgb(36, 161, 147)",109%,381px,21307px
indie soul,"rgb(146, 141, 73)",109%,952px,6970px
christian music,"rgb(158, 136, 13)",109%,361px,6948px
uk hip hop,"rgb(174, 132, 15)",109%,1053px,10256px
mexican rock,"rgb(185, 125, 28)",109%,637px,5264px
pluggnb,"rgb(138, 159, 5)",109%,894px,6402px
grunge,"rgb(195, 100, 56)",109%,307px,10414px
blues rock,"rgb(148, 119, 35)",109%,784px,14457px
lgbtq+ hip hop,"rgb(170, 132, 20)",109%,1023px,5442px
reggaeton flow,"rgb(182, 145, 9)",109%,1150px,4814px
funk metal,"rgb(203, 101, 30)",109%,498px,6960px
drift phonk,"rgb(185, 148, 131)",109%,954px,2253px
alternative hip hop,"rgb(177, 119, 36)",109%,981px,11275px
trap boricua,"rgb(167, 147, 6)",109%,1123px,8048px
funk carioca,"rgb(179, 134, 6)",109%,1246px,6400px
vocal jazz,"rgb(74, 145, 46)",109%,796px,19240px
contemporary r&b,"rgb(154, 134, 7)",109%,934px,4851px
memphis hip hop,"rgb(161, 144, 4)",109%,1141px,3874px
turkish rock,"rgb(144, 137, 30)",109%,555px,10585px
melodic metalcore,"rgb(233, 76, 46)",109%,203px,5612px
pop nacional,"rgb(173, 140, 5)",109%,932px,6792px
mariachi,"rgb(111, 152, 50)",109%,754px,14739px
dirty south rap,"rgb(168, 134, 3)",109%,1087px,4971px
salsa,"rgb(166, 134, 22)",109%,1048px,13619px
trap brasileiro,"rgb(146, 150, 6)",108%,1072px,8736px
electronica,"rgb(158, 137, 130)",108%,820px,4391px
trap italiana,"rgb(170, 149, 5)",108%,985px,6634px
pop soul,"rgb(135, 145, 11)",108%,805px,9637px
indie poptimism,"rgb(161, 139, 11)",108%,651px,5588px
pop reggaeton,"rgb(186, 137, 1)",108%,1087px,4603px
pagode,"rgb(174, 128, 2)",108%,842px,11460px
beatlesque,"rgb(159, 123, 27)",108%,494px,11659px
british invasion,"rgb(152, 125, 32)",108%,640px,12711px
dfw rap,"rgb(157, 143, 3)",108%,1099px,5520px
soundtrack,"rgb(58, 156, 194)",108%,214px,16444px
melancholia,"rgb(114, 145, 52)",108%,468px,13064px
rap conscient,"rgb(172, 136, 7)",108%,1053px,10575px
funk,"rgb(157, 119, 19)",108%,918px,9798px
g funk,"rgb(171, 124, 5)",108%,1186px,4800px
worship,"rgb(152, 138, 15)",108%,326px,7454px
bedroom r&b,"rgb(136, 154, 12)",108%,848px,7454px
queens hip hop,"rgb(182, 116, 8)",108%,1066px,9550px
christian alternative rock,"rgb(169, 132, 15)",108%,391px,5690px
australian pop,"rgb(163, 137, 17)",108%,695px,6190px
hardcore hip hop,"rgb(179, 115, 9)",108%,1085px,10294px
french pop,"rgb(159, 134, 8)",108%,698px,9760px
mandopop,"rgb(139, 145, 6)",108%,587px,9599px
trap queen,"rgb(167, 142, 3)",108%,1166px,4161px
quiet storm,"rgb(149, 125, 10)",108%,820px,10514px
outlaw country,"rgb(113, 137, 10)",108%,894px,14715px
bolero,"rgb(105, 146, 13)",108%,865px,17042px
brazilian gospel,"rgb(147, 143, 23)",108%,516px,10416px
francoton,"rgb(183, 138, 5)",108%,971px,4907px
r&b en espanol,"rgb(156, 151, 7)",108%,1070px,5721px
rain,"rgb(168, 0, 194)",108%,52px,16760px
cantautor,"rgb(124, 144, 12)",108%,768px,14345px
orchestral soundtrack,"rgb(63, 155, 189)",108%,251px,16903px
motown,"rgb(151, 123, 9)",108%,773px,11747px
bachata,"rgb(167, 146, 4)",108%,1175px,8086px
classic soul,"rgb(126, 130, 15)",108%,798px,14407px
progressive rock,"rgb(148, 125, 55)",108%,413px,12339px
japanese teen pop,"rgb(178, 133, 9)",108%,706px,5424px
rock-and-roll,"rgb(131, 128, 14)",108%,744px,15200px
cali rap,"rgb(162, 137, 2)",108%,1096px,8238px
new orleans rap,"rgb(167, 134, 4)",108%,1074px,7329px
brazilian rock,"rgb(184, 121, 11)",108%,600px,7653px
barbadian pop,"rgb(186, 134, 11)",108%,966px,3157px
white noise,"rgb(110, 0, 198)",108%,0px,17620px
emo,"rgb(195, 109, 25)",108%,338px,7380px
funk rock,"rgb(186, 105, 38)",108%,773px,6970px
eurodance,"rgb(211, 119, 52)",108%,922px,1478px
gym phonk,"rgb(198, 138, 121)",108%,956px,2368px
dream pop,"rgb(149, 129, 106)",107%,344px,10009px
gruperas inmortales,"rgb(162, 145, 5)",107%,991px,12378px
australian dance,"rgb(192, 128, 59)",107%,842px,2682px
pagode novo,"rgb(175, 132, 0)",107%,780px,11709px
reggae fusion,"rgb(178, 134, 5)",107%,1090px,10011px
brazilian hip hop,"rgb(163, 134, 15)",107%,1077px,10676px
chanson,"rgb(106, 144, 7)",107%,747px,16038px
trance,"rgb(210, 123, 121)",107%,625px,1994px
funk mtg,"rgb(175, 133, 7)",107%,1273px,8149px
funk rj,"rgb(178, 132, 14)",107%,1287px,6141px
dutch house,"rgb(211, 122, 92)",107%,883px,1908px
k-rap,"rgb(182, 132, 18)",107%,1025px,6460px
neon pop punk,"rgb(201, 113, 6)",107%,348px,4362px
pop venezolano,"rgb(182, 144, 1)",107%,1083px,6323px
florida rap,"rgb(150, 149, 2)",107%,1138px,6044px
spanish hip hop,"rgb(185, 125, 12)",107%,1040px,11905px
pixel,"rgb(143, 143, 118)",107%,881px,6834px
brooklyn drill,"rgb(162, 141, 5)",107%,1136px,7626px
turkish hip hop,"rgb(165, 139, 19)",107%,1027px,7120px
neo-synthpop,"rgb(182, 132, 72)",107%,730px,2626px
north carolina hip hop,"rgb(157, 139, 11)",107%,1068px,9288px
dancehall,"rgb(180, 136, 2)",107%,1114px,9364px
russian hip hop,"rgb(170, 136, 8)",107%,1002px,8800px
industrial metal,"rgb(214, 98, 76)",107%,447px,2653px
classic texas country,"rgb(131, 140, 12)",107%,706px,12265px
plugg,"rgb(139, 156, 6)",107%,952px,6007px
sheffield indie,"rgb(165, 126, 32)",107%,391px,10170px
atl trap,"rgb(146, 154, 3)",107%,1139px,4678px
movie tunes,"rgb(94, 141, 53)",107%,656px,15870px
anime rock,"rgb(211, 109, 20)",107%,405px,3657px
classic oklahoma country,"rgb(111, 138, 20)",107%,789px,15002px
escape room,"rgb(169, 136, 43)",107%,890px,5448px
sertanejo pop,"rgb(195, 132, 0)",107%,837px,8289px
baroque pop,"rgb(133, 136, 40)",107%,560px,12921px
britpop,"rgb(185, 118, 32)",107%,373px,6736px
tamil pop,"rgb(156, 136, 24)",107%,912px,8048px
old school thrash,"rgb(228, 68, 62)",107%,241px,9910px
downtempo,"rgb(155, 139, 120)",107%,805px,4793px
urbano chileno,"rgb(165, 149, 2)",107%,1134px,5456px
country dawn,"rgb(141, 142, 2)",107%,579px,10269px
latin viral pop,"rgb(175, 141, 5)",107%,940px,4512px
thrash metal,"rgb(230, 67, 73)",107%,217px,9525px
australian rock,"rgb(173, 122, 18)",107%,553px,8787px
latin christian,"rgb(156, 139, 20)",107%,592px,8095px
indian instrumental,"rgb(140, 136, 65)",107%,791px,12623px
symphonic rock,"rgb(143, 128, 54)",107%,440px,12674px
pop argentino,"rgb(171, 139, 4)",107%,844px,5575px
girl group,"rgb(184, 127, 9)",107%,912px,2619px
dutch edm,"rgb(210, 125, 89)",107%,865px,1947px
southern rock,"rgb(174, 115, 30)",107%,541px,11821px
reggae,"rgb(139, 143, 30)",107%,1214px,7086px
sad lo-fi,"rgb(102, 156, 62)",107%,985px,10588px
turkish trap,"rgb(169, 141, 25)",107%,1051px,5104px
polish trap,"rgb(165, 145, 6)",107%,1038px,6082px
melodic drill,"rgb(147, 145, 3)",107%,1190px,8061px
rap rock,"rgb(203, 105, 19)",107%,787px,4661px
pittsburgh rap,"rgb(157, 143, 4)",107%,1025px,9475px
uk contemporary r&b,"rgb(136, 149, 12)",107%,873px,9625px
aesthetic rap,"rgb(144, 150, 16)",107%,1016px,5159px
punjabi hip hop,"rgb(169, 143, 12)",107%,1096px,6697px
modern blues rock,"rgb(180, 116, 36)",107%,478px,11288px
sophisti-pop,"rgb(162, 128, 30)",107%,749px,5999px
candy pop,"rgb(189, 122, 13)",107%,538px,4506px
canadian rock,"rgb(192, 116, 20)",107%,401px,5922px
lilith,"rgb(125, 146, 10)",107%,587px,11883px
dutch hip hop,"rgb(164, 141, 12)",107%,1125px,6854px
philly rap,"rgb(174, 129, 4)",106%,1040px,9860px
kleine hoerspiel,"rgb(111, 108, 2)",106%,1272px,15870px
shoegaze,"rgb(168, 116, 115)",106%,256px,9055px
rap latina,"rgb(172, 143, 5)",106%,1145px,5316px
otacore,"rgb(163, 130, 80)",106%,608px,7406px
new americana,"rgb(122, 145, 17)",106%,613px,13911px
thai pop,"rgb(152, 142, 10)",106%,706px,7724px
compositional ambient,"rgb(41, 165, 191)",106%,365px,19928px
rockabilly,"rgb(135, 125, 14)",106%,763px,15272px
lo-fi study,"rgb(90, 163, 198)",106%,966px,11028px
modern indie pop,"rgb(144, 143, 11)",106%,813px,7480px
trip hop,"rgb(161, 134, 108)",106%,877px,4219px
alternative dance,"rgb(185, 128, 79)",106%,809px,2698px
instrumental lullaby,"rgb(18, 183, 217)",106%,1061px,19314px
la indie,"rgb(168, 129, 46)",106%,491px,6998px
phonk brasileiro,"rgb(183, 129, 38)",106%,1099px,6596px
neo-psychedelic,"rgb(170, 125, 101)",106%,389px,10830px
funk paulista,"rgb(161, 146, 3)",106%,1268px,8136px
screamo,"rgb(215, 94, 23)",106%,247px,6487px
acoustic pop,"rgb(119, 151, 13)",106%,574px,12489px
afropop,"rgb(160, 134, 22)",106%,962px,11053px
dmv rap,"rgb(154, 146, 5)",106%,1076px,6792px
musica chihuahuense,"rgb(189, 142, 4)",106%,900px,9064px
nyc rap,"rgb(171, 132, 5)",106%,1051px,11461px
afrofuturism,"rgb(144, 130, 70)",106%,846px,10452px
bossa nova,"rgb(100, 149, 55)",106%,826px,16567px
roots reggae,"rgb(138, 144, 27)",106%,1212px,6867px
world worship,"rgb(145, 140, 15)",106%,281px,9190px
funk consciente,"rgb(157, 148, 1)",106%,1268px,8388px
socal pop punk,"rgb(216, 98, 15)",106%,407px,5551px
merseybeat,"rgb(131, 131, 10)",106%,671px,14494px
lo-fi indie,"rgb(116, 143, 119)",106%,502px,13592px
industrial rock,"rgb(192, 102, 94)",106%,494px,3788px
dutch pop,"rgb(140, 141, 9)",106%,709px,9512px
groove metal,"rgb(230, 71, 60)",106%,245px,8119px
nova mpb,"rgb(129, 148, 18)",106%,839px,11560px
power metal,"rgb(215, 94, 36)",106%,204px,5649px
madchester,"rgb(196, 107, 56)",106%,440px,5788px
rock nacional brasileiro,"rgb(177, 123, 17)",106%,647px,7860px
spanish pop rock,"rgb(183, 132, 4)",106%,674px,6024px
pixie,"rgb(198, 116, 9)",106%,369px,4059px
sad rap,"rgb(136, 152, 13)",106%,996px,7417px
classic italian pop,"rgb(122, 143, 9)",106%,660px,14677px
vapor trap,"rgb(143, 155, 5)",106%,1074px,4800px
tennessee hip hop,"rgb(163, 145, 1)",106%,1105px,4563px
tejano,"rgb(163, 141, 8)",106%,1010px,8973px
trap funk,"rgb(168, 144, 13)",106%,1168px,6792px
lounge,"rgb(72, 145, 34)",106%,625px,19027px
filter house,"rgb(189, 128, 101)",106%,971px,2020px
indie pop rap,"rgb(168, 138, 4)",106%,985px,6659px
ska argentino,"rgb(180, 128, 15)",106%,837px,6495px
korean r&b,"rgb(154, 143, 25)",106%,918px,8738px
german techno,"rgb(190, 132, 137)",106%,1057px,1468px
german dance,"rgb(201, 128, 39)",106%,908px,1996px
danish pop,"rgb(165, 138, 10)",106%,883px,5342px
easy listening,"rgb(81, 145, 57)",106%,518px,18494px
pop r&b,"rgb(142, 150, 2)",106%,896px,7961px
hyperpop,"rgb(165, 141, 29)",106%,782px,5181px
rap marseille,"rgb(183, 133, 7)",106%,1088px,8462px
baton rouge rap,"rgb(163, 143, 4)",106%,1121px,5246px
cancion melodica,"rgb(109, 147, 5)",106%,608px,16616px
german metal,"rgb(217, 89, 38)",106%,251px,5749px
tech house,"rgb(210, 124, 158)",106%,1355px,520px
pop flamenco,"rgb(173, 132, 8)",106%,852px,9885px
classic country pop,"rgb(105, 144, 10)",106%,789px,15076px
lo-fi beats,"rgb(91, 152, 170)",106%,1027px,12962px
pop edm,"rgb(197, 134, 36)",106%,730px,3071px
drill,"rgb(160, 145, 2)",106%,979px,5981px
children's music,"rgb(113, 148, 28)",106%,1053px,12737px
swedish hip hop,"rgb(170, 134, 13)",106%,1036px,10119px
irish rock,"rgb(154, 132, 25)",106%,451px,9910px
florida drill,"rgb(147, 154, 2)",106%,1157px,5621px
rap conciencia,"rgb(182, 123, 7)",106%,1050px,12588px
classic bollywood,"rgb(120, 136, 38)",106%,687px,17506px
roots rock,"rgb(131, 134, 24)",106%,678px,14060px
speed metal,"rgb(226, 75, 48)",106%,206px,8044px
uk post-punk,"rgb(184, 104, 73)",106%,487px,8093px
forro,"rgb(204, 132, 2)",106%,940px,7651px
kentucky hip hop,"rgb(149, 149, 9)",105%,1166px,4984px
lullaby,"rgb(38, 152, 164)",105%,461px,18596px
adoracao,"rgb(143, 142, 16)",105%,401px,9736px
show tunes,"rgb(99, 146, 10)",105%,616px,16243px
ohio hip hop,"rgb(166, 136, 7)",105%,1006px,7081px
skate punk,"rgb(229, 83, 15)",105%,340px,7404px
grime,"rgb(187, 129, 21)",105%,1012px,6878px
jazz,"rgb(80, 144, 93)",105%,904px,19137px
neo-classical,"rgb(39, 171, 218)",105%,511px,20519px
spanish rock,"rgb(168, 132, 12)",105%,651px,7258px
rap canario,"rgb(162, 141, 11)",105%,1118px,7355px
sufi,"rgb(155, 128, 17)",105%,739px,12934px
german rock,"rgb(172, 116, 11)",105%,613px,8304px
meme rap,"rgb(150, 143, 19)",105%,1044px,6734px
la pop,"rgb(150, 144, 20)",105%,766px,7036px
broadway,"rgb(79, 147, 46)",105%,543px,17833px
australian hip hop,"rgb(178, 133, 8)",105%,1025px,5596px
samba,"rgb(122, 142, 25)",105%,848px,15175px
country pop,"rgb(171, 135, 2)",105%,532px,5884px
southern soul,"rgb(130, 130, 17)",105%,842px,12891px
rap napoletano,"rgb(168, 134, 20)",105%,926px,8277px
turkish alt pop,"rgb(120, 153, 16)",105%,714px,9972px
tollywood,"rgb(171, 129, 8)",105%,981px,7638px
drill espanol,"rgb(150, 150, 4)",105%,1136px,8213px
noise pop,"rgb(173, 114, 91)",105%,344px,10133px
hamburg hip hop,"rgb(167, 132, 26)",105%,1074px,9076px
urbano mexicano,"rgb(153, 149, 8)",105%,1098px,6006px
indie hip hop,"rgb(151, 141, 9)",105%,1036px,10905px
hollywood,"rgb(99, 141, 13)",105%,610px,16427px
cumbia villera,"rgb(187, 135, 3)",105%,1017px,9798px
v-pop,"rgb(143, 146, 7)",105%,732px,10219px
brooklyn indie,"rgb(165, 128, 63)",105%,449px,8341px
russian pop,"rgb(186, 130, 8)",105%,844px,3559px
flamenco urbano,"rgb(185, 139, 2)",105%,1051px,6609px
swedish trap pop,"rgb(155, 150, 10)",105%,1068px,9973px
norwegian pop,"rgb(145, 144, 11)",105%,656px,8243px
new jack swing,"rgb(157, 128, 9)",105%,971px,4278px
new french touch,"rgb(167, 146, 90)",105%,954px,2966px
electric blues,"rgb(133, 125, 35)",105%,883px,15396px
canadian trap,"rgb(148, 152, 2)",105%,1076px,5391px
electro latino,"rgb(205, 130, 23)",105%,1061px,2291px
swedish electropop,"rgb(175, 138, 48)",105%,784px,3017px
pop emo,"rgb(204, 112, 7)",105%,321px,3932px
uk alternative pop,"rgb(149, 142, 28)",105%,660px,7577px
cloud rap francais,"rgb(141, 152, 3)",105%,1050px,11065px
japanese singer-songwriter,"rgb(144, 141, 18)",105%,592px,9735px
cumbia sonidera,"rgb(164, 150, 13)",105%,1110px,4920px
deep house,"rgb(187, 131, 130)",105%,1234px,1127px
complextro,"rgb(195, 128, 84)",105%,780px,2669px
chicago drill,"rgb(159, 146, 2)",105%,1004px,6284px
british blues,"rgb(158, 120, 38)",105%,610px,13076px
industrial,"rgb(175, 101, 106)",105%,520px,5750px
salsa puertorriquena,"rgb(172, 136, 6)",105%,1042px,13632px
glitchcore,"rgb(163, 148, 24)",105%,671px,5166px
deep underground hip hop,"rgb(161, 143, 4)",105%,1081px,7787px
czsk hip hop,"rgb(169, 139, 10)",105%,1027px,7044px
gym hardstyle,"rgb(201, 126, 54)",105%,459px,4219px
french indie pop,"rgb(148, 145, 56)",105%,744px,6455px
weirdcore,"rgb(131, 145, 125)",105%,850px,9016px
turbo folk,"rgb(187, 125, 2)",105%,747px,6414px
vallenato,"rgb(177, 136, 2)",105%,1150px,10868px
video game music,"rgb(94, 145, 200)",105%,271px,12202px
azontobeats,"rgb(195, 132, 7)",105%,1023px,8048px
indonesian singer-songwriter,"rgb(111, 153, 13)",105%,608px,13602px
oxford indie,"rgb(165, 130, 59)",105%,434px,7983px
mollywood,"rgb(140, 144, 15)",105%,835px,10781px
chill r&b,"rgb(116, 155, 8)",105%,856px,10721px
uk metalcore,"rgb(221, 89, 28)",105%,215px,5896px
electro,"rgb(178, 131, 136)",105%,1147px,1751px
arrochadeira,"rgb(193, 141, 10)",105%,1311px,5022px
symphonic metal,"rgb(207, 101, 44)",105%,194px,5946px
electronic trap,"rgb(196, 130, 66)",105%,873px,3386px
country rap,"rgb(180, 132, 5)",105%,948px,4537px
latin worship,"rgb(155, 139, 17)",105%,440px,7885px
