genre,font_size,color,colors_rgb,top,left
k-pop girl group,115%,#cb8117,"rgb(203, 129, 23)",2979px,890px
latin alternative,115%,#b18212,"rgb(177, 130, 18)",5849px,768px
pop punk,115%,#d36808,"rgb(211, 104, 8)",4563px,321px
sertanejo,115%,#b38700,"rgb(179, 135, 0)",9549px,811px
gangster rap,115%,#b07c04,"rgb(176, 124, 4)",6145px,1107px
j-pop,115%,#bc7b16,"rgb(188, 123, 22)",5150px,513px
rock en espanol,115%,#b6800d,"rgb(182, 128, 13)",5108px,737px
german hip hop,115%,#a78d12,"rgb(167, 141, 18)",9350px,1064px
ranchera,115%,#759607,"rgb(117, 150, 7)",13988px,829px
tropical house,115%,#bf8824,"rgb(191, 136, 36)",2575px,871px
k-pop boy group,114%,#c77b11,"rgb(199, 123, 17)",3960px,737px
soul,114%,#698716,"rgb(105, 135, 22)",16194px,833px
electro house,114%,#d07c4f,"rgb(208, 124, 79)",2138px,833px
neo mellow,114%,#918e06,"rgb(145, 142, 6)",9822px,569px
heartland rock,114%,#a17a10,"rgb(161, 122, 16)",11722px,541px
italian pop,114%,#ad8807,"rgb(173, 136, 7)",6747px,798px
latin hip hop,114%,#c58603,"rgb(197, 134, 3)",3140px,1157px
chicago rap,114%,#a58c09,"rgb(165, 140, 9)",6434px,1012px
latin arena pop,114%,#af8803,"rgb(175, 136, 3)",6309px,681px
canadian contemporary r&b,114%,#84971b,"rgb(132, 151, 27)",9822px,798px
agronejo,113%,#c68400,"rgb(198, 132, 0)",8389px,844px
latin rock,113%,#b18211,"rgb(177, 130, 17)",5366px,698px
electropop,113%,#9b8f1a,"rgb(155, 143, 26)",5670px,809px
canadian hip hop,113%,#9c8f06,"rgb(156, 143, 6)",8327px,1031px
uk dance,113%,#c88331,"rgb(200, 131, 49)",2124px,950px
rap metal,113%,#d95d19,"rgb(217, 93, 25)",5567px,438px
conscious hip hop,113%,#b0780c,"rgb(176, 120, 12)",9886px,1042px
new wave,113%,#b87422,"rgb(184, 116, 34)",4879px,610px
toronto rap,113%,#999403,"rgb(153, 148, 3)",6754px,1063px
pop rock,113%,#af8107,"rgb(175, 129, 7)",6748px,478px
house,113%,#cb806e,"rgb(203, 128, 110)",1333px,1109px
modern alternative rock,113%,#be7714,"rgb(190, 119, 20)",5137px,440px
indonesian pop,113%,#8e910d,"rgb(142, 145, 13)",9080px,610px
indie rock,113%,#a0823a,"rgb(160, 130, 58)",9936px,463px
folk rock,112%,#7f860e,"rgb(127, 134, 14)",14433px,647px
bedroom pop,112%,#809426,"rgb(128, 148, 38)",9599px,719px
new romantic,112%,#b3791d,"rgb(179, 121, 29)",4506px,687px
metal,112%,#dc4e3d,"rgb(220, 78, 61)",8869px,214px
indie pop,112%,#829220,"rgb(130, 146, 32)",11101px,553px
east coast hip hop,112%,#b4710e,"rgb(180, 113, 14)",7961px,1112px
italian hip hop,112%,#b38907,"rgb(179, 137, 7)",8099px,971px
afrobeats,112%,#b98706,"rgb(185, 135, 6)",8449px,1066px
post-teen pop,112%,#b18504,"rgb(177, 133, 4)",4620px,712px
west coast rap,112%,#ad7a07,"rgb(173, 122, 7)",5404px,1159px
turkish pop,111%,#a18811,"rgb(161, 136, 17)",7416px,744px
trap argentino,111%,#9a9707,"rgb(154, 151, 7)",6297px,1099px
slap house,111%,#cb8235,"rgb(203, 130, 53)",2281px,867px
boy band,111%,#ac8303,"rgb(172, 131, 3)",3571px,719px
spanish pop,111%,#b58405,"rgb(181, 132, 5)",6577px,756px
cloud rap,111%,#7c9329,"rgb(124, 147, 41)",8712px,865px
miami hip hop,111%,#ae8706,"rgb(174, 135, 6)",4265px,1068px
neo soul,111%,#7e8b0e,"rgb(126, 139, 14)",12512px,782px
glam metal,111%,#cb6117,"rgb(203, 97, 23)",8341px,319px
hoerspiel,111%,#636500,"rgb(99, 101, 0)",15698px,1315px
modern country pop,111%,#9c8f00,"rgb(156, 143, 0)",7603px,534px
punjabi pop,111%,#bf8305,"rgb(191, 131, 5)",8125px,1004px
stomp and holler,111%,#838f1d,"rgb(131, 143, 29)",12973px,525px
progressive house,111%,#cf7d6f,"rgb(207, 125, 111)",2038px,717px
glam rock,111%,#ac711a,"rgb(172, 113, 26)",10732px,529px
rage rap,111%,#979f04,"rgb(151, 159, 4)",4333px,969px
viral pop,111%,#819607,"rgb(129, 150, 7)",10490px,759px
underground hip hop,111%,#a08911,"rgb(160, 137, 17)",8560px,989px
country rock,111%,#878214,"rgb(135, 130, 20)",13751px,681px
progressive electro house,111%,#d17c5c,"rgb(209, 124, 92)",1933px,850px
puerto rican pop,111%,#b38805,"rgb(179, 136, 5)",6233px,930px
alternative r&b,111%,#938d0f,"rgb(147, 141, 15)",10319px,967px
dark trap,111%,#a58e15,"rgb(165, 142, 21)",4252px,977px
piano rock,111%,#9a810c,"rgb(154, 129, 12)",12376px,587px
talent show,111%,#b38206,"rgb(179, 130, 6)",4391px,692px
swedish pop,111%,#a58809,"rgb(165, 136, 9)",6526px,678px
rap francais,111%,#a49202,"rgb(164, 146, 2)",9038px,1101px
synthpop,111%,#b57924,"rgb(181, 121, 36)",3673px,709px
nigerian pop,110%,#b68807,"rgb(182, 136, 7)",9009px,1066px
desi hip hop,110%,#ae8a0f,"rgb(174, 138, 15)",6107px,1057px
argentine rock,110%,#ab7d15,"rgb(171, 125, 21)",8812px,616px
tropical,110%,#b18805,"rgb(177, 136, 5)",12675px,1064px
punk,110%,#d8531f,"rgb(216, 83, 31)",8943px,346px
ccm,110%,#9e8a0d,"rgb(158, 138, 13)",6861px,344px
big room,110%,#d27c4e,"rgb(210, 124, 78)",2208px,766px
grupera,110%,#9a9005,"rgb(154, 144, 5)",9649px,922px
psychedelic rock,110%,#947823,"rgb(148, 120, 35)",13725px,587px
garage rock,110%,#c4672e,"rgb(196, 103, 46)",8969px,395px
opm,110%,#7a9611,"rgb(122, 150, 17)",11969px,564px
detroit hip hop,110%,#a7850b,"rgb(167, 133, 11)",9250px,1050px
italian adult pop,110%,#8f8b07,"rgb(143, 139, 7)",12165px,622px
sped up,110%,#94933a,"rgb(148, 147, 58)",5745px,856px
hip pop,110%,#a88406,"rgb(168, 132, 6)",4920px,1017px
art rock,110%,#937c2f,"rgb(147, 124, 47)",12463px,520px
metropopolis,110%,#a78827,"rgb(167, 136, 39)",5309px,534px
modern country rock,110%,#b28301,"rgb(178, 131, 1)",5378px,534px
german pop,110%,#a9820b,"rgb(169, 130, 11)",6551px,761px
sleep,110%,#7800c7,"rgb(120, 0, 199)",17707px,88px
europop,110%,#be7f11,"rgb(190, 127, 17)",2880px,782px
mpb,110%,#848c14,"rgb(132, 140, 20)",13495px,807px
argentine hip hop,110%,#a38f09,"rgb(163, 143, 9)",7936px,1114px
folk,110%,#65910e,"rgb(101, 145, 14)",15546px,744px
adult standards,110%,#518f1b,"rgb(81, 143, 27)",18424px,698px
yacht rock,110%,#8d8418,"rgb(141, 132, 24)",10732px,742px
mexican hip hop,110%,#a98304,"rgb(169, 131, 4)",6740px,1109px
dance rock,110%,#c47229,"rgb(196, 114, 41)",2812px,706px
indie folk,110%,#679922,"rgb(103, 153, 34)",14358px,589px
brostep,110%,#d47d43,"rgb(212, 125, 67)",2841px,791px
anime,110%,#ba792d,"rgb(186, 121, 45)",5428px,416px
chamber pop,109%,#7e8e3a,"rgb(126, 142, 58)",12773px,474px
urbano espanol,109%,#a48f07,"rgb(164, 143, 7)",9873px,1044px
british soul,109%,#998a0f,"rgb(153, 138, 15)",6634px,852px
trap triste,109%,#909b07,"rgb(144, 155, 7)",7973px,1004px
polish hip hop,109%,#b18409,"rgb(177, 132, 9)",7886px,1050px
metalcore,109%,#e65021,"rgb(230, 80, 33)",5137px,208px
emo rap,109%,#8f9812,"rgb(143, 152, 18)",6660px,756px
disco,109%,#a27813,"rgb(162, 120, 19)",8364px,892px
j-rock,109%,#c66e17,"rgb(198, 110, 23)",5884px,405px
gen z singer-songwriter,109%,#719a02,"rgb(113, 154, 2)",12315px,780px
folk-pop,109%,#87910a,"rgb(135, 145, 10)",10696px,587px
classical,109%,#24a193,"rgb(36, 161, 147)",21307px,381px
indie soul,109%,#928d49,"rgb(146, 141, 73)",6970px,952px
christian music,109%,#9e880d,"rgb(158, 136, 13)",6948px,361px
uk hip hop,109%,#ae840f,"rgb(174, 132, 15)",10256px,1053px
mexican rock,109%,#b97d1c,"rgb(185, 125, 28)",5264px,637px
pluggnb,109%,#8a9f05,"rgb(138, 159, 5)",6402px,894px
grunge,109%,#c36438,"rgb(195, 100, 56)",10414px,307px
blues rock,109%,#947723,"rgb(148, 119, 35)",14457px,784px
lgbtq+ hip hop,109%,#aa8414,"rgb(170, 132, 20)",5442px,1023px
reggaeton flow,109%,#b69109,"rgb(182, 145, 9)",4814px,1150px
funk metal,109%,#cb651e,"rgb(203, 101, 30)",6960px,498px
drift phonk,109%,#b99483,"rgb(185, 148, 131)",2253px,954px
alternative hip hop,109%,#b17724,"rgb(177, 119, 36)",11275px,981px
trap boricua,109%,#a79306,"rgb(167, 147, 6)",8048px,1123px
funk carioca,109%,#b38606,"rgb(179, 134, 6)",6400px,1246px
vocal jazz,109%,#4a912e,"rgb(74, 145, 46)",19240px,796px
contemporary r&b,109%,#9a8607,"rgb(154, 134, 7)",4851px,934px
memphis hip hop,109%,#a19004,"rgb(161, 144, 4)",3874px,1141px
turkish rock,109%,#90891e,"rgb(144, 137, 30)",10585px,555px
melodic metalcore,109%,#e94c2e,"rgb(233, 76, 46)",5612px,203px
pop nacional,109%,#ad8c05,"rgb(173, 140, 5)",6792px,932px
mariachi,109%,#6f9832,"rgb(111, 152, 50)",14739px,754px
dirty south rap,109%,#a88603,"rgb(168, 134, 3)",4971px,1087px
salsa,109%,#a68616,"rgb(166, 134, 22)",13619px,1048px
trap brasileiro,108%,#929606,"rgb(146, 150, 6)",8736px,1072px
electronica,108%,#9e8982,"rgb(158, 137, 130)",4391px,820px
trap italiana,108%,#aa9505,"rgb(170, 149, 5)",6634px,985px
pop soul,108%,#87910b,"rgb(135, 145, 11)",9637px,805px
indie poptimism,108%,#a18b0b,"rgb(161, 139, 11)",5588px,651px
pop reggaeton,108%,#ba8901,"rgb(186, 137, 1)",4603px,1087px
pagode,108%,#ae8002,"rgb(174, 128, 2)",11460px,842px
beatlesque,108%,#9f7b1b,"rgb(159, 123, 27)",11659px,494px
british invasion,108%,#987d20,"rgb(152, 125, 32)",12711px,640px
dfw rap,108%,#9d8f03,"rgb(157, 143, 3)",5520px,1099px
soundtrack,108%,#3a9cc2,"rgb(58, 156, 194)",16444px,214px
melancholia,108%,#729134,"rgb(114, 145, 52)",13064px,468px
rap conscient,108%,#ac8807,"rgb(172, 136, 7)",10575px,1053px
funk,108%,#9d7713,"rgb(157, 119, 19)",9798px,918px
g funk,108%,#ab7c05,"rgb(171, 124, 5)",4800px,1186px
worship,108%,#988a0f,"rgb(152, 138, 15)",7454px,326px
bedroom r&b,108%,#889a0c,"rgb(136, 154, 12)",7454px,848px
queens hip hop,108%,#b67408,"rgb(182, 116, 8)",9550px,1066px
christian alternative rock,108%,#a9840f,"rgb(169, 132, 15)",5690px,391px
australian pop,108%,#a38911,"rgb(163, 137, 17)",6190px,695px
hardcore hip hop,108%,#b37309,"rgb(179, 115, 9)",10294px,1085px
french pop,108%,#9f8608,"rgb(159, 134, 8)",9760px,698px
mandopop,108%,#8b9106,"rgb(139, 145, 6)",9599px,587px
trap queen,108%,#a78e03,"rgb(167, 142, 3)",4161px,1166px
quiet storm,108%,#957d0a,"rgb(149, 125, 10)",10514px,820px
outlaw country,108%,#71890a,"rgb(113, 137, 10)",14715px,894px
bolero,108%,#69920d,"rgb(105, 146, 13)",17042px,865px
brazilian gospel,108%,#938f17,"rgb(147, 143, 23)",10416px,516px
francoton,108%,#b78a05,"rgb(183, 138, 5)",4907px,971px
r&b en espanol,108%,#9c9707,"rgb(156, 151, 7)",5721px,1070px
rain,108%,#a800c2,"rgb(168, 0, 194)",16760px,52px
cantautor,108%,#7c900c,"rgb(124, 144, 12)",14345px,768px
orchestral soundtrack,108%,#3f9bbd,"rgb(63, 155, 189)",16903px,251px
motown,108%,#977b09,"rgb(151, 123, 9)",11747px,773px
bachata,108%,#a79204,"rgb(167, 146, 4)",8086px,1175px
classic soul,108%,#7e820f,"rgb(126, 130, 15)",14407px,798px
progressive rock,108%,#947d37,"rgb(148, 125, 55)",12339px,413px
japanese teen pop,108%,#b28509,"rgb(178, 133, 9)",5424px,706px
rock-and-roll,108%,#83800e,"rgb(131, 128, 14)",15200px,744px
cali rap,108%,#a28902,"rgb(162, 137, 2)",8238px,1096px
new orleans rap,108%,#a78604,"rgb(167, 134, 4)",7329px,1074px
brazilian rock,108%,#b8790b,"rgb(184, 121, 11)",7653px,600px
barbadian pop,108%,#ba860b,"rgb(186, 134, 11)",3157px,966px
white noise,108%,#6e00c6,"rgb(110, 0, 198)",17620px,0px
emo,108%,#c36d19,"rgb(195, 109, 25)",7380px,338px
funk rock,108%,#ba6926,"rgb(186, 105, 38)",6970px,773px
eurodance,108%,#d37734,"rgb(211, 119, 52)",1478px,922px
gym phonk,108%,#c68a79,"rgb(198, 138, 121)",2368px,956px
dream pop,107%,#95816a,"rgb(149, 129, 106)",10009px,344px
gruperas inmortales,107%,#a29105,"rgb(162, 145, 5)",12378px,991px
australian dance,107%,#c0803b,"rgb(192, 128, 59)",2682px,842px
pagode novo,107%,#af8400,"rgb(175, 132, 0)",11709px,780px
reggae fusion,107%,#b28605,"rgb(178, 134, 5)",10011px,1090px
brazilian hip hop,107%,#a3860f,"rgb(163, 134, 15)",10676px,1077px
chanson,107%,#6a9007,"rgb(106, 144, 7)",16038px,747px
trance,107%,#d27b79,"rgb(210, 123, 121)",1994px,625px
funk mtg,107%,#af8507,"rgb(175, 133, 7)",8149px,1273px
funk rj,107%,#b2840e,"rgb(178, 132, 14)",6141px,1287px
dutch house,107%,#d37a5c,"rgb(211, 122, 92)",1908px,883px
k-rap,107%,#b68412,"rgb(182, 132, 18)",6460px,1025px
neon pop punk,107%,#c97106,"rgb(201, 113, 6)",4362px,348px
pop venezolano,107%,#b69001,"rgb(182, 144, 1)",6323px,1083px
florida rap,107%,#969502,"rgb(150, 149, 2)",6044px,1138px
spanish hip hop,107%,#b97d0c,"rgb(185, 125, 12)",11905px,1040px
pixel,107%,#8f8f76,"rgb(143, 143, 118)",6834px,881px
brooklyn drill,107%,#a28d05,"rgb(162, 141, 5)",7626px,1136px
turkish hip hop,107%,#a58b13,"rgb(165, 139, 19)",7120px,1027px
neo-synthpop,107%,#b68448,"rgb(182, 132, 72)",2626px,730px
north carolina hip hop,107%,#9d8b0b,"rgb(157, 139, 11)",9288px,1068px
dancehall,107%,#b48802,"rgb(180, 136, 2)",9364px,1114px
russian hip hop,107%,#aa8808,"rgb(170, 136, 8)",8800px,1002px
industrial metal,107%,#d6624c,"rgb(214, 98, 76)",2653px,447px
classic texas country,107%,#838c0c,"rgb(131, 140, 12)",12265px,706px
plugg,107%,#8b9c06,"rgb(139, 156, 6)",6007px,952px
sheffield indie,107%,#a57e20,"rgb(165, 126, 32)",10170px,391px
atl trap,107%,#929a03,"rgb(146, 154, 3)",4678px,1139px
movie tunes,107%,#5e8d35,"rgb(94, 141, 53)",15870px,656px
anime rock,107%,#d36d14,"rgb(211, 109, 20)",3657px,405px
classic oklahoma country,107%,#6f8a14,"rgb(111, 138, 20)",15002px,789px
escape room,107%,#a9882b,"rgb(169, 136, 43)",5448px,890px
sertanejo pop,107%,#c38400,"rgb(195, 132, 0)",8289px,837px
baroque pop,107%,#858828,"rgb(133, 136, 40)",12921px,560px
britpop,107%,#b97620,"rgb(185, 118, 32)",6736px,373px
tamil pop,107%,#9c8818,"rgb(156, 136, 24)",8048px,912px
old school thrash,107%,#e4443e,"rgb(228, 68, 62)",9910px,241px
downtempo,107%,#9b8b78,"rgb(155, 139, 120)",4793px,805px
urbano chileno,107%,#a59502,"rgb(165, 149, 2)",5456px,1134px
country dawn,107%,#8d8e02,"rgb(141, 142, 2)",10269px,579px
latin viral pop,107%,#af8d05,"rgb(175, 141, 5)",4512px,940px
thrash metal,107%,#e64349,"rgb(230, 67, 73)",9525px,217px
australian rock,107%,#ad7a12,"rgb(173, 122, 18)",8787px,553px
latin christian,107%,#9c8b14,"rgb(156, 139, 20)",8095px,592px
indian instrumental,107%,#8c8841,"rgb(140, 136, 65)",12623px,791px
symphonic rock,107%,#8f8036,"rgb(143, 128, 54)",12674px,440px
pop argentino,107%,#ab8b04,"rgb(171, 139, 4)",5575px,844px
girl group,107%,#b87f09,"rgb(184, 127, 9)",2619px,912px
dutch edm,107%,#d27d59,"rgb(210, 125, 89)",1947px,865px
southern rock,107%,#ae731e,"rgb(174, 115, 30)",11821px,541px
reggae,107%,#8b8f1e,"rgb(139, 143, 30)",7086px,1214px
sad lo-fi,107%,#669c3e,"rgb(102, 156, 62)",10588px,985px
turkish trap,107%,#a98d19,"rgb(169, 141, 25)",5104px,1051px
polish trap,107%,#a59106,"rgb(165, 145, 6)",6082px,1038px
melodic drill,107%,#939103,"rgb(147, 145, 3)",8061px,1190px
rap rock,107%,#cb6913,"rgb(203, 105, 19)",4661px,787px
pittsburgh rap,107%,#9d8f04,"rgb(157, 143, 4)",9475px,1025px
uk contemporary r&b,107%,#88950c,"rgb(136, 149, 12)",9625px,873px
aesthetic rap,107%,#909610,"rgb(144, 150, 16)",5159px,1016px
punjabi hip hop,107%,#a98f0c,"rgb(169, 143, 12)",6697px,1096px
modern blues rock,107%,#b47424,"rgb(180, 116, 36)",11288px,478px
sophisti-pop,107%,#a2801e,"rgb(162, 128, 30)",5999px,749px
candy pop,107%,#bd7a0d,"rgb(189, 122, 13)",4506px,538px
canadian rock,107%,#c07414,"rgb(192, 116, 20)",5922px,401px
lilith,107%,#7d920a,"rgb(125, 146, 10)",11883px,587px
dutch hip hop,107%,#a48d0c,"rgb(164, 141, 12)",6854px,1125px
philly rap,106%,#ae8104,"rgb(174, 129, 4)",9860px,1040px
kleine hoerspiel,106%,#6f6c02,"rgb(111, 108, 2)",15870px,1272px
shoegaze,106%,#a87473,"rgb(168, 116, 115)",9055px,256px
rap latina,106%,#ac8f05,"rgb(172, 143, 5)",5316px,1145px
otacore,106%,#a38250,"rgb(163, 130, 80)",7406px,608px
new americana,106%,#7a9111,"rgb(122, 145, 17)",13911px,613px
thai pop,106%,#988e0a,"rgb(152, 142, 10)",7724px,706px
compositional ambient,106%,#29a5bf,"rgb(41, 165, 191)",19928px,365px
rockabilly,106%,#877d0e,"rgb(135, 125, 14)",15272px,763px
lo-fi study,106%,#5aa3c6,"rgb(90, 163, 198)",11028px,966px
modern indie pop,106%,#908f0b,"rgb(144, 143, 11)",7480px,813px
trip hop,106%,#a1866c,"rgb(161, 134, 108)",4219px,877px
alternative dance,106%,#b9804f,"rgb(185, 128, 79)",2698px,809px
instrumental lullaby,106%,#12b7d9,"rgb(18, 183, 217)",19314px,1061px
la indie,106%,#a8812e,"rgb(168, 129, 46)",6998px,491px
phonk brasileiro,106%,#b78126,"rgb(183, 129, 38)",6596px,1099px
neo-psychedelic,106%,#aa7d65,"rgb(170, 125, 101)",10830px,389px
funk paulista,106%,#a19203,"rgb(161, 146, 3)",8136px,1268px
screamo,106%,#d75e17,"rgb(215, 94, 23)",6487px,247px
acoustic pop,106%,#77970d,"rgb(119, 151, 13)",12489px,574px
afropop,106%,#a08616,"rgb(160, 134, 22)",11053px,962px
dmv rap,106%,#9a9205,"rgb(154, 146, 5)",6792px,1076px
musica chihuahuense,106%,#bd8e04,"rgb(189, 142, 4)",9064px,900px
nyc rap,106%,#ab8405,"rgb(171, 132, 5)",11461px,1051px
afrofuturism,106%,#908246,"rgb(144, 130, 70)",10452px,846px
bossa nova,106%,#649537,"rgb(100, 149, 55)",16567px,826px
roots reggae,106%,#8a901b,"rgb(138, 144, 27)",6867px,1212px
world worship,106%,#918c0f,"rgb(145, 140, 15)",9190px,281px
funk consciente,106%,#9d9401,"rgb(157, 148, 1)",8388px,1268px
socal pop punk,106%,#d8620f,"rgb(216, 98, 15)",5551px,407px
merseybeat,106%,#83830a,"rgb(131, 131, 10)",14494px,671px
lo-fi indie,106%,#748f77,"rgb(116, 143, 119)",13592px,502px
industrial rock,106%,#c0665e,"rgb(192, 102, 94)",3788px,494px
dutch pop,106%,#8c8d09,"rgb(140, 141, 9)",9512px,709px
groove metal,106%,#e6473c,"rgb(230, 71, 60)",8119px,245px
nova mpb,106%,#819412,"rgb(129, 148, 18)",11560px,839px
power metal,106%,#d75e24,"rgb(215, 94, 36)",5649px,204px
madchester,106%,#c46b38,"rgb(196, 107, 56)",5788px,440px
rock nacional brasileiro,106%,#b17b11,"rgb(177, 123, 17)",7860px,647px
spanish pop rock,106%,#b78404,"rgb(183, 132, 4)",6024px,674px
pixie,106%,#c67409,"rgb(198, 116, 9)",4059px,369px
sad rap,106%,#88980d,"rgb(136, 152, 13)",7417px,996px
classic italian pop,106%,#7a8f09,"rgb(122, 143, 9)",14677px,660px
vapor trap,106%,#8f9b05,"rgb(143, 155, 5)",4800px,1074px
tennessee hip hop,106%,#a39101,"rgb(163, 145, 1)",4563px,1105px
tejano,106%,#a38d08,"rgb(163, 141, 8)",8973px,1010px
trap funk,106%,#a8900d,"rgb(168, 144, 13)",6792px,1168px
lounge,106%,#489122,"rgb(72, 145, 34)",19027px,625px
filter house,106%,#bd8065,"rgb(189, 128, 101)",2020px,971px
indie pop rap,106%,#a88a04,"rgb(168, 138, 4)",6659px,985px
ska argentino,106%,#b4800f,"rgb(180, 128, 15)",6495px,837px
korean r&b,106%,#9a8f19,"rgb(154, 143, 25)",8738px,918px
german techno,106%,#be8489,"rgb(190, 132, 137)",1468px,1057px
german dance,106%,#c98027,"rgb(201, 128, 39)",1996px,908px
danish pop,106%,#a58a0a,"rgb(165, 138, 10)",5342px,883px
easy listening,106%,#519139,"rgb(81, 145, 57)",18494px,518px
pop r&b,106%,#8e9602,"rgb(142, 150, 2)",7961px,896px
hyperpop,106%,#a58d1d,"rgb(165, 141, 29)",5181px,782px
rap marseille,106%,#b78507,"rgb(183, 133, 7)",8462px,1088px
baton rouge rap,106%,#a38f04,"rgb(163, 143, 4)",5246px,1121px
cancion melodica,106%,#6d9305,"rgb(109, 147, 5)",16616px,608px
german metal,106%,#d95926,"rgb(217, 89, 38)",5749px,251px
tech house,106%,#d27c9e,"rgb(210, 124, 158)",520px,1355px
pop flamenco,106%,#ad8408,"rgb(173, 132, 8)",9885px,852px
classic country pop,106%,#69900a,"rgb(105, 144, 10)",15076px,789px
lo-fi beats,106%,#5b98aa,"rgb(91, 152, 170)",12962px,1027px
pop edm,106%,#c58624,"rgb(197, 134, 36)",3071px,730px
drill,106%,#a09102,"rgb(160, 145, 2)",5981px,979px
children's music,106%,#71941c,"rgb(113, 148, 28)",12737px,1053px
swedish hip hop,106%,#aa860d,"rgb(170, 134, 13)",10119px,1036px
irish rock,106%,#9a8419,"rgb(154, 132, 25)",9910px,451px
florida drill,106%,#939a02,"rgb(147, 154, 2)",5621px,1157px
rap conciencia,106%,#b67b07,"rgb(182, 123, 7)",12588px,1050px
classic bollywood,106%,#788826,"rgb(120, 136, 38)",17506px,687px
roots rock,106%,#838618,"rgb(131, 134, 24)",14060px,678px
speed metal,106%,#e24b30,"rgb(226, 75, 48)",8044px,206px
uk post-punk,106%,#b86849,"rgb(184, 104, 73)",8093px,487px
forro,106%,#cc8402,"rgb(204, 132, 2)",7651px,940px
